team,pts,f,a,gd
Leicester City,44,39,26,13
Arsenal,44,37,21,16
Manchester City,43,43,21,22
Tottenham Hotspur,39,38,18,20
Manchester United,37,28,20,8
West Ham United,35,34,26,8
Stoke City,33,24,22,2
Liverpool,31,25,28,-3
Crystal Palace,31,23,24,-1
Southampton,30,31,24,7
Watford,29,25,25,0
Everton,29,39,32,7
West Bromwich Albion,27,22,30,-8
Chelsea,25,31,34,-3
Bournemouth,24,26,37,-11
Norwich City,23,24,38,-14
Swansea City,22,20,30,-10
Newcastle United,21,24,39,-15
Sunderland,18,27,45,-18
Aston Villa,12,18,38,-20
