goalTime,epochScnds,"Tottenham Hotspur
 Pts","Liverpool
 Pts","Swansea City
 Pts","Aston Villa
 Pts","Manchester City
 Pts","Stoke City
 Pts","Sunderland
 Pts","Newcastle United
 Pts","West Ham United
 Pts","Norwich City
 Pts","Bournemouth
 Pts","Crystal Palace
 Pts","Southampton
 Pts","Leicester City
 Pts","Watford
 Pts","West Bromwich Albion
 Pts","Arsenal
 Pts","Chelsea
 Pts","Manchester United
 Pts","Everton
 Pts"
2015-08-08 11:44:58,1439030698,5,6,8,17,2,9,16,15,12,20,18,10,7,14,19,13,3,1,4,11
2015-08-08 11:44:59,1439030699,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 11:45:00,1439030700,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20
2015-08-08 12:06:35,1439031995,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,19
2015-08-08 15:00:00,1439042400,20,19,19,9,19,19,9,19,19,9,9,9,19,9,9,19,19,19,1,9
2015-08-08 15:10:19,1439043019,20,18,18,8,18,18,20,18,18,8,8,8,18,2,8,18,18,18,2,8
2015-08-08 15:13:07,1439043187,20,17,17,7,17,17,20,17,17,7,7,7,17,3,3,17,17,17,3,20
2015-08-08 15:17:46,1439043466,19,17,17,7,17,17,20,17,17,7,7,7,17,1,3,17,17,17,3,19
2015-08-08 15:24:28,1439043868,19,17,17,7,17,17,20,17,17,7,7,7,17,1,3,17,17,17,3,19
2015-08-08 15:38:03,1439044683,19,16,16,6,16,16,20,16,16,19,6,4,16,1,4,16,16,16,4,19
2015-08-08 16:06:03,1439046363,18,16,16,6,16,16,20,16,16,19,6,2,16,1,4,16,16,16,4,18
2015-08-08 16:18:04,1439047084,18,16,16,6,16,16,19,16,16,20,6,2,16,1,4,16,16,16,4,18
2015-08-08 16:23:33,1439047413,18,16,16,6,16,16,20,16,16,19,6,2,16,1,4,16,16,16,4,18
2015-08-08 16:25:11,1439047511,19,16,16,6,16,16,20,16,16,17,6,2,16,1,4,16,16,16,4,19
2015-08-08 16:28:25,1439047705,19,15,15,5,15,15,20,15,15,16,19,2,15,1,5,15,15,15,5,19
2015-08-08 16:28:27,1439047707,19,15,15,5,15,15,20,15,15,16,19,2,15,1,5,15,15,15,5,19
2015-08-08 16:30:00,1439047800,19,15,7,5,15,15,20,15,15,16,19,2,15,1,5,15,15,7,5,19
2015-08-08 16:32:26,1439047946,19,16,8,4,16,16,20,16,16,17,19,2,16,1,6,16,16,8,4,6
2015-08-08 16:39:55,1439048395,19,15,7,5,15,15,20,15,15,17,19,3,15,1,3,15,15,7,5,17
2015-08-08 16:42:57,1439048577,19,16,8,4,16,16,20,16,16,17,19,2,16,1,6,16,16,8,4,6
2015-08-08 16:50:41,1439049041,18,16,8,4,16,16,19,16,16,20,18,2,16,1,6,16,16,8,4,6
2015-08-08 16:52:09,1439049129,18,15,18,5,15,15,19,15,15,20,18,2,15,1,7,15,15,5,5,7
2015-08-08 16:58:18,1439049498,18,16,8,4,16,16,19,16,16,20,18,2,16,1,6,16,16,8,4,6
2015-08-08 16:59:53,1439049593,18,15,16,5,15,15,19,15,15,20,18,2,15,1,7,15,15,3,5,7
2015-08-08 17:42:03,1439052123,18,16,8,4,16,16,19,16,16,20,18,2,16,1,8,16,16,8,4,8
2015-08-09 12:30:00,1439119800,18,16,8,4,16,16,19,12,12,20,18,2,12,1,8,16,12,8,4,8
2015-08-09 12:53:56,1439121236,18,15,9,5,15,15,19,18,11,20,18,2,5,1,9,15,11,9,5,9
2015-08-09 13:11:54,1439122314,18,16,8,4,16,16,19,10,12,20,18,2,10,1,8,16,12,8,4,8
2015-08-09 13:12:48,1439122368,18,15,9,5,15,15,19,11,5,20,18,2,11,1,9,15,18,9,5,9
2015-08-09 13:34:25,1439123665,18,14,10,6,14,14,19,3,6,20,18,2,15,1,10,14,18,10,6,10
2015-08-09 13:43:39,1439124219,17,14,10,6,14,14,18,4,3,19,17,2,15,1,10,14,20,10,6,10
2015-08-09 14:05:24,1439125524,17,15,11,5,15,15,18,11,3,19,17,2,11,1,11,15,20,11,5,11
2015-08-09 15:00:00,1439128800,17,13,11,5,15,13,18,11,3,19,17,2,11,1,11,15,20,11,5,11
2015-08-09 16:42:43,1439134963,17,6,12,6,14,17,18,12,3,19,17,2,12,1,12,14,20,12,6,12
2015-08-10 19:00:00,1439229600,17,6,12,6,14,17,18,12,3,19,17,2,12,1,12,14,20,12,6,12
2015-08-10 19:08:30,1439230110,17,7,13,7,7,17,18,13,3,19,17,2,13,1,13,17,20,13,7,13
2015-08-10 19:23:32,1439231012,16,7,13,7,4,16,17,13,4,18,16,2,13,1,13,20,20,13,7,13
2015-08-10 20:14:38,1439234078,16,7,13,7,1,16,17,13,4,18,16,3,13,2,13,20,19,13,7,13
2015-08-14 18:45:00,1439574300,16,7,13,2,3,16,17,13,6,18,16,5,13,4,13,20,19,13,2,13
2015-08-14 19:13:07,1439575987,16,6,13,7,2,16,17,13,5,18,16,4,13,3,13,20,19,13,1,13
2015-08-15 11:45:00,1439635500,16,6,13,7,2,16,17,13,5,18,16,4,9,3,13,20,19,13,1,9
2015-08-15 12:06:11,1439636771,16,7,12,8,3,16,17,12,6,18,16,5,13,4,12,20,19,12,1,2
2015-08-15 12:29:02,1439638142,16,7,12,8,3,16,17,12,6,18,16,5,13,4,12,20,19,12,1,2
2015-08-15 13:26:55,1439641615,16,7,12,8,3,16,17,12,6,18,16,5,13,4,12,20,19,12,1,2
2015-08-15 15:00:00,1439647200,14,7,11,8,5,14,15,11,4,16,19,6,17,3,11,18,20,12,1,2
2015-08-15 15:08:48,1439647728,14,8,5,9,6,14,15,12,4,16,19,7,17,3,10,18,20,11,1,2
2015-08-15 15:18:29,1439648309,10,8,5,10,6,20,14,13,4,15,18,7,16,3,11,17,20,12,1,2
