goalTime,epochScnds,"Chelsea
Pts","Manchester City
Pts","Arsenal
Pts","Manchester United
Pts","Tottenham Hotspur
Pts","Liverpool
Pts","Southampton
Pts","Swansea City
Pts","Stoke City
Pts","Crystal Palace
Pts","Everton
Pts","West Ham United
Pts","West Bromwich Albion
Pts","Leicester City
Pts","Newcastle United
Pts","Sunderland
Pts","Aston Villa
Pts","Bournemouth
Pts","Watford
Pts","Norwich City
Pts"
2015-08-08 11:44:58,1439030698,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2015-08-08 11:44:59,1439030699,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 11:45:00,1439030700,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 12:06:35,1439031995,19,19,19,1,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2015-08-08 15:00:00,1439042400,19,19,19,1,20,19,19,19,19,9,9,19,19,9,19,9,9,9,9,9
2015-08-08 15:10:19,1439043019,18,18,18,2,20,18,18,18,18,8,8,18,18,2,18,20,8,8,8,8
2015-08-08 15:13:07,1439043187,17,17,17,3,20,17,17,17,17,7,20,17,17,3,17,20,7,7,3,7
2015-08-08 15:17:46,1439043466,17,17,17,3,19,17,17,17,17,7,19,17,17,1,17,20,7,7,3,7
2015-08-08 15:24:28,1439043868,17,17,17,3,19,17,17,17,17,7,19,17,17,1,17,20,7,7,3,7
2015-08-08 15:38:03,1439044683,16,16,16,4,19,16,16,16,16,4,19,16,16,1,16,20,6,6,4,19
2015-08-08 16:06:03,1439046363,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,20,6,6,4,19
2015-08-08 16:18:04,1439047084,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,19,6,6,4,20
2015-08-08 16:23:33,1439047413,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,20,6,6,4,19
2015-08-08 16:25:11,1439047511,16,16,16,4,19,16,16,16,16,2,19,16,16,1,16,20,6,6,4,17
2015-08-08 16:28:25,1439047705,15,15,15,5,19,15,15,15,15,2,19,15,15,1,15,20,5,19,5,16
2015-08-08 16:28:27,1439047707,15,15,15,5,19,15,15,15,15,2,19,15,15,1,15,20,5,19,5,16
2015-08-08 16:30:00,1439047800,7,15,15,5,19,15,15,7,15,2,19,15,15,1,15,20,5,19,5,16
2015-08-08 16:32:26,1439047946,8,16,16,4,19,16,16,8,16,2,6,16,16,1,16,20,4,19,6,17
2015-08-08 16:39:55,1439048395,7,15,15,5,19,15,15,7,15,3,17,15,15,1,15,20,5,19,3,17
2015-08-08 16:42:57,1439048577,8,16,16,4,19,16,16,8,16,2,6,16,16,1,16,20,4,19,6,17
2015-08-08 16:50:41,1439049041,8,16,16,4,18,16,16,8,16,2,6,16,16,1,16,19,4,18,6,20
2015-08-08 16:52:09,1439049129,5,15,15,5,18,15,15,18,15,2,7,15,15,1,15,19,5,18,7,20
2015-08-08 16:58:18,1439049498,8,16,16,4,18,16,16,8,16,2,6,16,16,1,16,19,4,18,6,20
2015-08-08 16:59:53,1439049593,3,15,15,5,18,15,15,16,15,2,7,15,15,1,15,19,5,18,7,20
2015-08-08 17:42:03,1439052123,8,16,16,4,18,16,16,8,16,2,8,16,16,1,16,19,4,18,8,20
