goalTime,Chelsea,ManCity,Arsenal,ManUtd,Spurs,Liverpool,Southampton,Swansea,Stoke,CrystalPalace,Everton,WestHam,WestBrom,Leicester,Newcastle,Sunderland,AstonVilla,Bournemouth,Watford,Norwich
2015-08-08 12:44:58,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2015-08-08 12:44:59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 12:45:00,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 13:06:35,19,19,19,1,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2015-08-08 15:00:00,19,19,19,1,20,19,19,19,19,9,9,19,19,9,19,9,9,9,9,9
2015-08-08 15:10:19,18,18,18,2,20,18,18,18,18,8,8,18,18,2,18,20,8,8,8,8
2015-08-08 15:13:00,17,17,17,3,20,17,17,17,17,7,20,17,17,3,17,20,7,7,3,7
2015-08-08 15:17:46,17,17,17,3,19,17,17,17,17,7,19,17,17,1,17,20,7,7,3,7
2015-08-08 15:24:28,17,17,17,3,19,17,17,17,17,7,19,17,17,1,17,20,7,7,3,7
2015-08-08 15:38:03,16,16,16,4,19,16,16,16,16,4,19,16,16,1,16,20,6,6,4,19
2015-08-08 16:05:21,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,20,6,6,4,19
2015-08-08 16:16:44,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,19,6,6,4,20
2015-08-08 16:22:13,16,16,16,4,18,16,16,16,16,2,18,16,16,1,16,20,6,6,4,19
2015-08-08 16:24:29,16,16,16,4,19,16,16,16,16,2,19,16,16,1,16,20,6,6,4,17
2015-08-08 16:27:07,16,16,16,4,19,16,16,16,16,2,19,16,16,1,16,20,6,6,4,17
2015-08-08 16:28:02,15,15,15,5,19,15,15,15,15,2,19,15,15,1,15,20,5,19,5,16
2015-08-08 16:30:25,16,16,16,4,19,16,16,16,16,2,6,16,16,1,16,20,4,19,6,17
2015-08-08 16:37:54,15,15,15,5,19,15,15,15,15,3,17,15,15,1,15,20,5,19,3,17
2015-08-08 16:40:56,16,16,16,4,19,16,16,16,16,2,6,16,16,1,16,20,4,19,6,17
2015-08-08 16:49:59,16,16,16,4,18,16,16,16,16,2,6,16,16,1,16,19,4,18,6,20
2015-08-08 17:30:00,8,16,16,4,18,16,16,8,16,2,6,16,16,1,16,19,4,18,6,20
2015-08-08 17:52:09,5,15,15,5,18,15,15,18,15,2,7,15,15,1,15,19,5,18,7,20
2015-08-08 17:58:18,8,16,16,4,18,16,16,8,16,2,6,16,16,1,16,19,4,18,6,20
2015-08-08 17:59:48,3,15,15,5,18,15,15,16,15,2,7,15,15,1,15,19,5,18,7,20
2015-08-08 18:41:22,8,16,16,4,18,16,16,8,16,2,8,16,16,1,16,19,4,18,8,20
2015-08-09 13:30:00,8,16,12,4,18,16,12,8,16,2,8,12,16,1,12,19,4,18,8,20
2015-08-09 13:53:56,9,15,11,5,18,15,5,9,15,2,9,11,15,1,18,19,5,18,9,20
2015-08-09 14:11:54,8,16,12,4,18,16,10,8,16,2,8,12,16,1,10,19,4,18,8,20
2015-08-09 14:12:48,9,15,18,5,18,15,11,9,15,2,9,5,15,1,11,19,5,18,9,20
2015-08-09 14:34:08,10,14,18,6,18,14,15,10,14,2,10,6,14,1,3,19,6,18,10,20
2015-08-09 14:41:28,10,14,20,6,17,14,15,10,14,2,10,3,14,1,4,18,6,17,10,19
2015-08-09 15:05:07,11,15,20,5,17,15,11,11,15,2,11,3,15,1,11,18,5,17,11,19
2015-08-09 16:00:00,11,15,20,5,17,13,11,11,13,2,11,3,15,1,11,18,5,17,11,19
2015-08-09 17:40:40,12,14,20,6,17,6,12,12,17,2,12,3,14,1,12,18,6,17,12,19
