goalTime,epochScnds,"Chelsea
Pts","Chelsea
F","Chelsea
A","Chelsea
GD","Man City
Pts","Man City
F","Man City
A","Man City
GD","Arsenal
Pts","Arsenal
F","Arsenal
A","Arsenal
GD","Man Utd
Pts","Man Utd
F","Man Utd
A","Man Utd
GD","Spurs
Pts","Spurs
F","Spurs
A","Spurs
GD","Liverpool
Pts","Liverpool
F","Liverpool
A","Liverpool
GD","Southampton
Pts","Southampton
F","Southampton
A","Southampton
GD","Swansea
Pts","Swansea
F","Swansea
A","Swansea
GD","Stoke
Pts","Stoke
F","Stoke
A","Stoke
GD","Crystal Palace
Pts","Crystal Palace
F","Crystal Palace
A","Crystal Palace
GD","Everton
Pts","Everton
F","Everton
A","Everton
GD","West Ham
Pts","West Ham
F","West Ham
A","West Ham
GD","West Brom
Pts","West Brom
F","West Brom
A","West Brom
GD","Leicester
Pts","Leicester
F","Leicester
A","Leicester
GD","Newcastle
Pts","Newcastle
F","Newcastle
A","Newcastle
GD","Sunderland
Pts","Sunderland
F","Sunderland
A","Sunderland
GD","Aston Villa
Pts","Aston Villa
F","Aston Villa
A","Aston Villa
GD","Bournemouth
Pts","Bournemouth
F","Bournemouth
A","Bournemouth
GD","Watford
Pts","Watford
F","Watford
A","Watford
GD","Norwich
Pts","Norwich
F","Norwich
A","Norwich
GD"
2015-08-08 12:44:58,1439034298,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0
2015-08-08 12:44:59,1439034299,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0
2015-08-08 12:45:00,1439034300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08 13:06:35,1439035595,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08 15:00:00,1439042400,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2015-08-08 15:10:19,1439043019,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2015-08-08 15:13:00,1439043180,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:17:46,1439043466,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,2,-2,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:24:28,1439043868,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,-3,1,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0
2015-08-08 15:38:03,1439044683,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,-3,1,0,0,0,1,0,0,0,3,1,0,1,0,0,1,-1
2015-08-08 16:05:21,1439046321,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,-3,1,0,0,0,1,0,0,0,3,1,0,1,0,0,2,-2
2015-08-08 16:16:44,1439047004,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,-1,0,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,1,3,-2,1,0,0,0,1,0,0,0,3,1,0,1,0,0,2,-2
2015-08-08 16:22:13,1439047333,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,-1,0,0,0,0,0,0,0,0,3,4,1,3,0,0,0,0,0,1,4,-3,1,0,0,0,1,0,0,0,3,1,0,1,0,0,2,-2
2015-08-08 16:24:29,1439047469,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,3,4,1,3,0,0,0,0,0,1,4,-3,1,0,0,0,1,0,0,0,3,1,0,1,0,1,2,-1
2015-08-08 16:27:07,1439047627,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,1,0,0,0,1,0,0,0,3,1,0,1,0,1,2,-1
2015-08-08 16:28:02,1439047682,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,3,1,0,1,0,1,2,-1
2015-08-08 16:30:25,1439047825,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,1,1,0,0,1,2,-1
2015-08-08 16:37:54,1439048274,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,2,-1,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,3,2,1,1,0,1,2,-1
2015-08-08 16:40:56,1439048456,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,2,-1
2015-08-08 16:49:59,1439048999,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-08 17:30:00,1439051400,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-08 17:52:09,1439052729,3,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-08 17:58:18,1439053098,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-08 17:59:48,1439053188,3,2,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,2,-1,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-08 18:41:22,1439055682,1,2,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,3,4,2,2,0,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 13:30:00,1439123400,1,2,2,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,1,0,0,0,0,0,0,0,3,4,2,2,1,0,0,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 13:53:56,1439124836,1,2,2,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,3,1,0,1,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,1,0,0,0,0,0,0,0,3,4,2,2,0,0,1,-1,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 14:11:54,1439125914,1,2,2,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,1,-1,0,0,0,0,1,1,1,0,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,1,0,0,0,0,0,0,0,3,4,2,2,1,1,1,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 14:12:48,1439125968,1,2,2,0,0,0,0,0,0,0,1,-1,3,1,0,1,0,0,1,-1,0,0,0,0,1,1,1,0,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,3,1,0,1,0,0,0,0,3,4,2,2,1,1,1,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 14:34:08,1439127248,1,2,2,0,0,0,0,0,0,0,1,-1,3,1,0,1,0,0,1,-1,0,0,0,0,0,1,2,-1,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,3,1,0,1,0,0,0,0,3,4,2,2,3,2,1,1,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 14:41:28,1439127688,1,2,2,0,0,0,0,0,0,0,2,-2,3,1,0,1,0,0,1,-1,0,0,0,0,0,1,2,-1,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,3,2,0,2,0,0,0,0,3,4,2,2,3,2,1,1,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 15:05:07,1439129107,1,2,2,0,0,0,0,0,0,0,2,-2,3,1,0,1,0,0,1,-1,0,0,0,0,1,2,2,0,1,2,2,0,0,0,0,0,3,3,1,2,1,2,2,0,3,2,0,2,0,0,0,0,3,4,2,2,1,2,2,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
2015-08-09 16:00:00,1439132400,1,2,2,0,0,0,0,0,0,0,2,-2,3,1,0,1,0,0,1,-1,1,0,0,0,1,2,2,0,1,2,2,0,1,0,0,0,3,3,1,2,1,2,2,0,3,2,0,2,0,0,0,0,3,4,2,2,1,2,2,0,0,2,4,-2,3,1,0,1,0,0,1,-1,1,2,2,0,0,1,3,-2
