goalTime,epochScnds,"Chelsea
Pts","Man City
Pts","Arsenal
Pts","Man Utd
Pts","Spurs
Pts","Liverpool
Pts","Southampton
Pts","Swansea
Pts","Stoke
Pts","Crystal Palace
Pts","Everton
Pts","West Ham
Pts","West Brom
Pts","Leicester
Pts","Newcastle
Pts","Sunderland
Pts","Aston Villa
Pts","Bournemouth
Pts","Watford
Pts","Norwich
Pts"
2015-08-08 12:44:58,1439034298,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2015-08-08 12:44:59,1439034299,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2015-08-08 12:45:00,1439034300,0.191919,0.191919,0.191919,1.191919,1.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919,0.191919
2015-08-08 13:06:35,1439035595,0.181819,0.181819,0.181819,3.191919,0.0018,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819,0.181819
2015-08-08 15:00:00,1439042400,0.181819,0.181819,0.181819,3.191919,0.0018,0.181819,0.181819,0.181819,0.181819,1.181819,1.181819,0.181819,0.181819,1.181819,0.181819,1.181819,1.181819,1.181819,1.181819,1.181819
2015-08-08 15:10:19,1439043019,0.171719,0.171719,0.171719,3.191919,0.011701,0.171719,0.171719,0.171719,0.171719,1.171719,1.171719,0.171719,0.171719,3.191919,0.171719,0.011701,1.171719,1.171719,1.171719,1.171719
2015-08-08 15:13:00,1439043180,0.161619,0.161619,0.161619,3.191919,0.021602,0.161619,0.161619,0.161619,0.161619,1.161619,0.021602,0.161619,0.161619,3.191919,0.161619,0.021602,1.161619,1.161619,3.191919,1.161619
2015-08-08 15:17:46,1439043466,0.161619,0.161619,0.161619,3.181819,0.021602,0.161619,0.161619,0.161619,0.161619,1.161619,0.021602,0.161619,0.161619,3.191919,0.161619,0.0016,1.161619,1.161619,3.181819,1.161619
2015-08-08 15:24:28,1439043868,0.161619,0.161619,0.161619,3.181819,0.021602,0.161619,0.161619,0.161619,0.161619,1.161619,0.021602,0.161619,0.161619,3.191919,0.161619,0.0016,1.161619,1.161619,3.181819,1.161619
2015-08-08 15:38:03,1439044683,0.151519,0.151519,0.151519,3.181819,0.031503,0.151519,0.151519,0.151519,0.151519,3.181819,0.031503,0.151519,0.151519,3.191919,0.151519,0.0015,1.151519,1.151519,3.181819,0.031503
2015-08-08 16:05:21,1439046321,0.151519,0.151519,0.151519,3.171719,0.031503,0.151519,0.151519,0.151519,0.151519,3.181819,0.031503,0.151519,0.151519,3.191919,0.151519,0.0015,1.151519,1.151519,3.171719,0.011501
2015-08-08 16:16:44,1439047004,0.151419,0.151419,0.151419,3.171719,0.031404,0.151419,0.151419,0.151419,0.151419,3.191819,0.031404,0.151419,0.151419,3.191904,0.151419,0.0117,1.151419,1.151419,3.171719,0.011401
2015-08-08 16:22:13,1439047333,0.151419,0.151419,0.151419,3.171719,0.031404,0.151419,0.151419,0.151419,0.151419,3.181819,0.031404,0.151419,0.151419,3.191904,0.151419,0.0017,1.151419,1.151419,3.171719,0.011401
2015-08-08 16:24:29,1439047469,0.151319,0.151319,0.151319,3.181719,0.031305,0.151319,0.151319,0.151319,0.151319,3.181805,0.031305,0.151319,0.151319,3.191905,0.151319,0.0017,1.151319,1.151319,3.181719,0.031701
2015-08-08 16:27:07,1439047627,0.151319,0.151319,0.151319,3.181619,0.031305,0.151319,0.151319,0.151319,0.151319,3.181805,0.031305,0.151319,0.151319,3.191902,0.151319,0.0018,1.151319,1.151319,3.181619,0.031602
2015-08-08 16:28:02,1439047682,0.141219,0.141219,0.141219,3.181619,0.041206,0.141219,0.141219,0.141219,0.141219,3.181806,0.041206,0.141219,0.141219,3.191902,0.141219,0.0018,3.181619,0.041206,3.181619,0.041602
2015-08-08 16:30:25,1439047825,0.151119,0.151119,0.151119,3.181619,0.031107,0.151119,0.151119,0.151119,0.151119,3.181807,1.151607,0.151119,0.151119,3.191902,0.151119,0.0018,3.181619,0.031107,1.151607,0.031602
2015-08-08 16:37:54,1439048274,0.141119,0.141119,0.141119,3.181519,0.041107,0.141119,0.141119,0.141119,0.141119,3.181807,0.041503,0.141119,0.141119,3.191903,0.141119,0.0018,3.181519,0.041107,3.181807,0.041503
2015-08-08 16:40:56,1439048456,0.151119,0.151119,0.151119,3.181419,0.031107,0.151119,0.151119,0.151119,0.151119,3.181807,1.151804,0.151119,0.151119,3.191904,0.151119,0.0018,3.181419,0.031107,1.151804,0.031404
2015-08-08 16:49:59,1439048999,0.151119,0.151119,0.151119,3.171419,0.031107,0.151119,0.151119,0.151119,0.151119,3.191807,1.151704,0.151119,0.151119,3.191904,0.151119,0.0117,3.171419,0.031107,1.151704,0.011401
2015-08-08 17:30:00,1439051400,1.151119,0.151119,0.151119,3.171419,0.031107,0.151119,0.151119,1.151119,0.151119,3.191807,1.151704,0.151119,0.151119,3.191904,0.151119,0.0117,3.171419,0.031107,1.151704,0.011401
2015-08-08 17:52:09,1439052729,3.171419,0.141019,0.141019,3.171419,0.041008,0.141019,0.141019,0.041008,0.141019,3.191808,1.141704,0.141019,0.141019,3.191904,0.141019,0.0117,3.171419,0.041008,1.141704,0.011401
2015-08-08 17:58:18,1439053098,1.151409,0.150919,0.150919,3.171419,0.030909,0.150919,0.150919,1.151409,0.150919,3.191809,1.151704,0.150919,0.150919,3.191904,0.150919,0.0117,3.171419,0.030909,1.151704,0.011401
2015-08-08 17:59:48,1439053188,3.171709,0.140919,0.140919,3.171319,0.040909,0.140919,0.140919,0.041305,0.140919,3.191809,1.141705,0.140919,0.140919,3.191905,0.140919,0.0117,3.171319,0.040909,1.141705,0.011301
2015-08-08 18:41:22,1439055682,1.151706,0.150919,0.150919,3.171219,0.030909,0.150919,0.150919,1.151706,0.150919,3.191809,1.151706,0.150919,0.150919,3.191906,0.150919,0.0117,3.171219,0.030909,1.151706,0.011201
