man-utd,spurs
bournemouth,aston-villa
everton,watford
leicester,sunderland
norwich,crystal-palace
chelsea,swansea
arsenal,west-ham
newcastle,southampton
stoke,liverpool
west-brom,man-city
aston-villa,man-utd
southampton,everton
sunderland,norwich
swansea,newcastle
spurs,stoke
watford,west-brom
west-ham,leicester
crystal-palace,arsenal
man-city,chelsea
liverpool,bournemouth
man-utd,newcastle
crystal-palace,aston-villa
leicester,spurs
norwich,stoke
sunderland,swansea
west-ham,bournemouth
west-brom,chelsea
everton,man-city
watford,southampton
arsenal,liverpool
newcastle,arsenal
aston-villa,sunderland
bournemouth,leicester
chelsea,crystal-palace
liverpool,west-ham
man-city,watford
stoke,west-brom
spurs,everton
southampton,norwich
swansea,man-utd
everton,chelsea
arsenal,stoke
crystal-palace,man-city
norwich,bournemouth
watford,swansea
west-brom,southampton
man-utd,liverpool
sunderland,spurs
leicester,aston-villa
west-ham,newcastle
chelsea,arsenal
aston-villa,west-brom
bournemouth,sunderland
newcastle,watford
stoke,leicester
swansea,everton
man-city,west-ham
spurs,crystal-palace
liverpool,norwich
southampton,man-utd
spurs,man-city
leicester,arsenal
liverpool,aston-villa
man-utd,sunderland
southampton,swansea
stoke,bournemouth
west-ham,norwich
newcastle,chelsea
watford,crystal-palace
west-brom,everton
crystal-palace,west-brom
aston-villa,stoke
bournemouth,watford
man-city,newcastle
norwich,leicester
sunderland,west-ham
chelsea,southampton
everton,liverpool
arsenal,man-utd
swansea,spurs
spurs,liverpool
chelsea,aston-villa
crystal-palace,west-ham
everton,man-utd
man-city,bournemouth
southampton,leicester
west-brom,sunderland
watford,arsenal
newcastle,norwich
swansea,stoke
aston-villa,swansea
leicester,crystal-palace
norwich,west-brom
stoke,watford
west-ham,chelsea
arsenal,everton
sunderland,newcastle
bournemouth,spurs
man-utd,man-city
liverpool,southampton
chelsea,liverpool
crystal-palace,man-utd
man-city,norwich
newcastle,stoke
swansea,arsenal
watford,west-ham
west-brom,leicester
everton,sunderland
southampton,bournemouth
spurs,aston-villa
bournemouth,newcastle
leicester,watford
man-utd,west-brom
norwich,swansea
sunderland,southampton
west-ham,everton
