home,away,,home2,homeScore,awayScore,away2,,,
man-utd,spurs,,man-utd,1,0,spurs,TRUE,TRUE,arsenal
bournemouth,aston-villa,,bournemouth,0,1,aston-villa,TRUE,TRUE,
everton,watford,,everton,2,2,watford,TRUE,TRUE,
leicester,sunderland,,leicester,4,2,sunderland,TRUE,TRUE,
norwich,crystal-palace,,norwich,1,3,crystal-palace,TRUE,TRUE,
chelsea,swansea,,chelsea,2,2,swansea,TRUE,TRUE,
arsenal,west-ham,,arsenal,0,2,west-ham,TRUE,TRUE,
newcastle,southampton,,newcastle,2,2,southampton,TRUE,TRUE,
stoke,liverpool,,stoke,0,1,liverpool,TRUE,TRUE,
west-brom,man-city,,west-brom,0,3,man-city,TRUE,TRUE,
aston-villa,man-utd,,aston-villa,0,1,man-utd,TRUE,TRUE,
southampton,everton,,southampton,0,3,everton,TRUE,TRUE,
sunderland,norwich,,sunderland,1,3,norwich,TRUE,TRUE,
swansea,newcastle,,swansea,2,0,newcastle,TRUE,TRUE,
spurs,stoke,,spurs,2,2,stoke,TRUE,TRUE,
watford,west-brom,,watford,0,0,west-brom,TRUE,TRUE,
west-ham,leicester,,west-ham,1,2,leicester,TRUE,TRUE,
crystal-palace,arsenal,,crystal-palace,1,2,arsenal,TRUE,TRUE,
man-city,chelsea,,man-city,3,0,chelsea,TRUE,TRUE,
liverpool,bournemouth,,liverpool,1,0,bournemouth,TRUE,TRUE,
man-utd,newcastle,,man-utd,0,0,newcastle,TRUE,TRUE,
crystal-palace,aston-villa,,crystal-palace,2,1,aston-villa,TRUE,TRUE,
leicester,spurs,,leicester,1,1,spurs,TRUE,TRUE,
norwich,stoke,,norwich,1,1,stoke,TRUE,TRUE,
sunderland,swansea,,sunderland,1,1,swansea,TRUE,TRUE,
west-ham,bournemouth,,west-ham,3,4,bournemouth,TRUE,TRUE,
west-brom,chelsea,,west-brom,2,3,chelsea,TRUE,TRUE,
everton,man-city,,everton,0,2,man-city,TRUE,TRUE,
watford,southampton,,watford,0,0,southampton,TRUE,TRUE,
arsenal,liverpool,,arsenal,0,0,liverpool,TRUE,TRUE,
newcastle,arsenal,,newcastle,0,1,arsenal,TRUE,TRUE,
aston-villa,sunderland,,aston-villa,2,2,sunderland,TRUE,TRUE,
bournemouth,leicester,,bournemouth,1,1,leicester,TRUE,TRUE,
chelsea,crystal-palace,,chelsea,1,2,crystal-palace,TRUE,TRUE,
liverpool,west-ham,,liverpool,0,3,west-ham,TRUE,TRUE,
man-city,watford,,man-city,2,0,watford,TRUE,TRUE,
stoke,west-brom,,stoke,0,1,west-brom,TRUE,TRUE,
spurs,everton,,spurs,0,0,everton,TRUE,TRUE,
southampton,norwich,,southampton,3,0,norwich,TRUE,TRUE,
swansea,man-utd,,swansea,2,1,man-utd,TRUE,TRUE,
everton,chelsea,,everton,3,1,chelsea,TRUE,TRUE,
arsenal,stoke,,arsenal,2,0,stoke,TRUE,TRUE,
crystal-palace,man-city,,crystal-palace,0,1,man-city,TRUE,TRUE,
norwich,bournemouth,,norwich,3,1,bournemouth,TRUE,TRUE,
watford,swansea,,west-brom,1,1,swansea,TRUE,TRUE,
west-brom,southampton,,watford,0,0,southampton,TRUE,TRUE,
man-utd,liverpool,,man-utd,3,1,liverpool,TRUE,TRUE,
sunderland,spurs,,sunderland,0,1,spurs,TRUE,TRUE,
leicester,aston-villa,,leicester,3,2,aston-villa,TRUE,TRUE,
west-ham,newcastle,,west-ham,2,0,newcastle,TRUE,TRUE,
chelsea,arsenal,,chelsea,2,0,arsenal,TRUE,TRUE,
aston-villa,west-brom,,aston-villa,0,1,west-brom,TRUE,TRUE,
bournemouth,sunderland,,bournemouth,2,0,sunderland,TRUE,TRUE,
newcastle,watford,,newcastle,1,2,watford,TRUE,TRUE,
stoke,leicester,,stoke,2,2,leicester,TRUE,TRUE,
swansea,everton,,swansea,0,0,everton,TRUE,TRUE,
man-city,west-ham,,man-city,1,2,west-ham,TRUE,TRUE,
spurs,crystal-palace,,spurs,1,0,crystal-palace,TRUE,TRUE,
liverpool,norwich,,liverpool,1,1,norwich,TRUE,TRUE,
southampton,man-utd,,southampton,2,3,man-utd,TRUE,TRUE,
spurs,man-city,,spurs,4,1,man-city,TRUE,TRUE,
leicester,arsenal,,leicester,2,5,arsenal,TRUE,TRUE,
liverpool,aston-villa,,liverpool,3,2,aston-villa,TRUE,TRUE,
man-utd,sunderland,,man-utd,3,0,sunderland,TRUE,TRUE,
southampton,swansea,,southampton,3,1,swansea,TRUE,TRUE,
stoke,bournemouth,,stoke,2,1,bournemouth,TRUE,TRUE,
west-ham,norwich,,west-ham,2,2,norwich,TRUE,TRUE,
newcastle,chelsea,,newcastle,2,2,chelsea,TRUE,TRUE,
watford,crystal-palace,,watford,0,1,crystal-palace,TRUE,TRUE,
west-brom,everton,,west-brom,2,3,everton,TRUE,TRUE,
crystal-palace,west-brom,,crystal-palace,2,0,west-brom,TRUE,TRUE,
aston-villa,stoke,,aston-villa,0,1,stoke,TRUE,TRUE,
bournemouth,watford,,bournemouth,1,1,watford,TRUE,TRUE,
man-city,newcastle,,man-city,6,1,newcastle,TRUE,TRUE,
norwich,leicester,,norwich,1,2,leicester,TRUE,TRUE,
sunderland,west-ham,,sunderland,2,2,west-ham,TRUE,TRUE,
chelsea,southampton,,chelsea,1,3,southampton,TRUE,TRUE,
everton,liverpool,,everton,1,1,liverpool,TRUE,TRUE,
arsenal,man-utd,,arsenal,3,0,man-utd,TRUE,TRUE,
swansea,spurs,,swansea,2,2,spurs,TRUE,TRUE,
spurs,liverpool,,spurs,0,0,liverpool,TRUE,TRUE,
chelsea,aston-villa,,chelsea,2,0,aston-villa,TRUE,TRUE,
crystal-palace,west-ham,,crystal-palace,2,0,west-brom,TRUE,TRUE,
everton,man-utd,,everton,0,3,man-utd,TRUE,TRUE,
man-city,bournemouth,,man-city,5,1,bournemouth,TRUE,TRUE,
southampton,leicester,,southampton,2,2,leicester,TRUE,TRUE,
west-brom,sunderland,,west-brom,1,0,sunderland,TRUE,TRUE,
watford,arsenal,,watford,0,3,arsenal,TRUE,TRUE,
newcastle,norwich,,newcastle,6,2,norwich,TRUE,TRUE,
swansea,stoke,,swansea,0,1,stoke,TRUE,TRUE,
aston-villa,swansea,,aston-villa,1,2,swansea,TRUE,TRUE,
leicester,crystal-palace,,leicester,1,0,crystal-palace,TRUE,TRUE,
norwich,west-brom,,norwich,0,1,west-brom,TRUE,TRUE,
stoke,watford,,stoke,0,2,watford,TRUE,TRUE,
west-ham,chelsea,,,,,,,,
arsenal,everton,,west-ham,2,1,chelsea,TRUE,TRUE,
sunderland,newcastle,,arsenal,2,1,everton,TRUE,TRUE,
bournemouth,spurs,,sunderland,3,0,newcastle,TRUE,TRUE,
man-utd,man-city,,bournemouth,1,5,spurs,TRUE,TRUE,
liverpool,southampton,,man-utd,0,0,man-city,TRUE,TRUE,
chelsea,liverpool,,liverpool,1,1,southampton,TRUE,TRUE,
crystal-palace,man-utd,,chelsea,1,3,liverpool,TRUE,TRUE,
man-city,norwich,,crystal-palace,0,0,man-utd,TRUE,TRUE,
newcastle,stoke,,man-city,2,1,norwich,TRUE,TRUE,
swansea,arsenal,,newcastle,0,0,stoke,TRUE,TRUE,
watford,west-ham,,swansea,0,3,arsenal,TRUE,TRUE,
west-brom,leicester,,watford,2,0,west-ham,TRUE,TRUE,
everton,sunderland,,west-brom,2,3,leicester,TRUE,TRUE,
southampton,bournemouth,,everton,6,2,sunderland,TRUE,TRUE,
spurs,aston-villa,,southampton,2,0,bournemouth,TRUE,TRUE,
bournemouth,newcastle,,spurs,3,1,aston-villa,TRUE,TRUE,
leicester,watford,,bournemouth,0,1,newcastle,TRUE,TRUE,
man-utd,west-brom,,leicester,2,1,watford,TRUE,TRUE,
norwich,swansea,,man-utd,2,0,west-brom,TRUE,TRUE,
sunderland,southampton,,norwich,1,0,swansea,TRUE,TRUE,
west-ham,everton,,sunderland,0,1,southampton,TRUE,TRUE,
stoke,chelsea,,west-ham,1,1,everton,TRUE,TRUE,
aston-villa,man-city,,stoke,1,0,chelsea,TRUE,TRUE,
arsenal,spurs,,aston-villa,0,0,man-city,TRUE,TRUE,
liverpool,crystal-palace,,arsenal,1,1,spurs,TRUE,TRUE,
watford,man-utd,,liverpool,1,2,crystal-palace,TRUE,TRUE,
chelsea,norwich,,watford,1,2,man-utd,TRUE,TRUE,
everton,aston-villa,,chelsea,1,0,norwich,TRUE,TRUE,
newcastle,leicester,,everton,4,0,aston-villa,TRUE,TRUE,
southampton,stoke,,newcastle,0,3,leicester,TRUE,TRUE,
swansea,bournemouth,,southampton,0,1,stoke,TRUE,TRUE,
west-brom,arsenal,,swansea,2,2,bournemouth,TRUE,TRUE,
man-city,liverpool,,west-brom,2,1,arsenal,TRUE,TRUE,
spurs,west-ham,,man-city,1,4,liverpool,TRUE,TRUE,
crystal-palace,sunderland,,spurs,4,1,west-ham,TRUE,TRUE,
aston-villa,watford,,crystal-palace,0,1,sunderland,TRUE,TRUE,
bournemouth,everton,,aston-villa,2,3,watford,TRUE,TRUE,
crystal-palace,newcastle,,bournemouth,3,3,everton,TRUE,TRUE,
man-city,southampton,,crystal-palace,5,1,newcastle,TRUE,TRUE,
sunderland,stoke,,man-city,3,1,southampton,TRUE,TRUE,
leicester,man-utd,,sunderland,2,0,stoke,TRUE,TRUE,
spurs,chelsea,,leicester,1,1,man-utd,TRUE,TRUE,
west-ham,west-brom,,spurs,0,0,chelsea,TRUE,TRUE,
liverpool,swansea,,west-ham,1,1,west-brom,TRUE,TRUE,
norwich,arsenal,,liverpool,1,0,swansea,TRUE,TRUE,
stoke,man-city,,norwich,1,1,arsenal,TRUE,TRUE,
arsenal,sunderland,,stoke,2,0,man-city,TRUE,TRUE,
man-utd,west-ham,,arsenal,3,1,sunderland,TRUE,TRUE,
southampton,aston-villa,,man-utd,0,0,west-ham,TRUE,TRUE,
swansea,leicester,,southampton,1,1,aston-villa,TRUE,TRUE,
watford,norwich,,swansea,0,3,leicester,TRUE,TRUE,
west-brom,spurs,,watford,2,0,norwich,TRUE,TRUE,
chelsea,bournemouth,,west-brom,1,1,spurs,TRUE,TRUE,
newcastle,liverpool,,chelsea,0,1,bournemouth,TRUE,TRUE,
everton,crystal-palace,,newcastle,2,0,liverpool,TRUE,TRUE,
norwich,everton,,everton,1,1,crystal-palace,TRUE,TRUE,
crystal-palace,southampton,,norwich,1,1,everton,TRUE,TRUE,
man-city,swansea,,crystal-palace,1,0,southampton,TRUE,TRUE,
sunderland,watford,,man-city,2,1,swansea,TRUE,TRUE,
west-ham,stoke,,sunderland,0,1,watford,TRUE,TRUE,
bournemouth,man-utd,,west-ham,0,0,stoke,TRUE,TRUE,
aston-villa,arsenal,,bournemouth,2,1,man-utd,TRUE,TRUE,
liverpool,west-brom,,aston-villa,0,2,arsenal,TRUE,TRUE,
spurs,newcastle,,liverpool,2,2,west-brom,TRUE,TRUE,
leicester,chelsea,,spurs,1,2,newcastle,TRUE,TRUE,
chelsea,sunderland,,leicester,2,1,chelsea,TRUE,TRUE,
everton,leicester,,chelsea,3,1,sunderland,TRUE,TRUE,
man-utd,norwich,,everton,2,3,leicester,TRUE,TRUE,
southampton,spurs,,man-utd,1,2,norwich,TRUE,TRUE,
stoke,crystal-palace,,southampton,0,2,spurs,TRUE,TRUE,
west-brom,bournemouth,,stoke,1,2,crystal-palace,TRUE,TRUE,
newcastle,aston-villa,,west-brom,1,2,bournemouth,TRUE,TRUE,
watford,liverpool,,newcastle,1,1,aston-villa,TRUE,TRUE,
swansea,west-ham,,watford,3,0,liverpool,TRUE,TRUE,
arsenal,man-city,,swansea,0,0,west-ham,TRUE,TRUE,
stoke,man-utd,,arsenal,2,1,man-city,TRUE,TRUE,
aston-villa,west-ham,,stoke,2,0,man-utd,TRUE,TRUE,
bournemouth,crystal-palace,,aston-villa,1,1,west-ham,TRUE,TRUE,
chelsea,watford,,bournemouth,0,0,crystal-palace,TRUE,TRUE,
liverpool,leicester,,chelsea,2,2,watford,TRUE,TRUE,
man-city,sunderland,,liverpool,1,0,leicester,TRUE,TRUE,
swansea,west-brom,,man-city,4,1,sunderland,TRUE,TRUE,
spurs,norwich,,swansea,1,0,west-brom,TRUE,TRUE,
newcastle,everton,,spurs,3,0,norwich,TRUE,TRUE,
southampton,arsenal,,newcastle,0,1,everton,TRUE,TRUE,
crystal-palace,swansea,,southampton,4,0,arsenal,TRUE,TRUE,
everton,stoke,,crystal-palace,0,0,swansea,TRUE,TRUE,
norwich,aston-villa,,everton,3,4,stoke,TRUE,TRUE,
watford,spurs,,norwich,2,0,aston-villa,TRUE,TRUE,
west-brom,newcastle,,watford,1,2,spurs,TRUE,TRUE,
arsenal,bournemouth,,west-brom,1,0,newcastle,TRUE,TRUE,
man-utd,chelsea,,arsenal,2,0,bournemouth,TRUE,TRUE,
west-ham,southampton,,man-utd,0,0,chelsea,TRUE,TRUE,
leicester,man-city,,west-ham,2,1,southampton,TRUE,TRUE,
sunderland,liverpool,,leicester,0,0,man-city,TRUE,TRUE,
west-ham,liverpool,,sunderland,0,1,liverpool,TRUE,TRUE,
arsenal,newcastle,,west-ham,2,0,liverpool,TRUE,TRUE,
leicester,bournemouth,,arsenal,1,0,newcastle,TRUE,TRUE,
man-utd,swansea,,leicester,0,0,bournemouth,TRUE,TRUE,
norwich,southampton,,man-utd,2,1,swansea,TRUE,TRUE,
sunderland,aston-villa,,norwich,1,0,southampton,TRUE,TRUE,
west-brom,stoke,,sunderland,3,1,aston-villa,TRUE,TRUE,
watford,man-city,,west-brom,2,1,stoke,TRUE,TRUE,
crystal-palace,chelsea,,watford,1,2,man-city,TRUE,TRUE,
everton,spurs,,crystal-palace,0,3,chelsea,TRUE,TRUE,
aston-villa,crystal-palace,,everton,1,1,spurs,TRUE,TRUE,
bournemouth,west-ham,,aston-villa,1,0,crystal-palace,TRUE,TRUE,
newcastle,man-utd,,bournemouth,1,3,west-ham,TRUE,TRUE,
chelsea,west-brom,,newcastle,3,3,man-utd,TRUE,TRUE,
man-city,everton,,chelsea,2,2,west-brom,TRUE,TRUE,
southampton,watford,,man-city,0,0,everton,TRUE,TRUE,
stoke,norwich,,southampton,2,0,watford,TRUE,TRUE,
swansea,sunderland,,stoke,3,1,norwich,TRUE,TRUE,
liverpool,arsenal,,swansea,2,4,sunderland,TRUE,TRUE,
spurs,leicester,,liverpool,3,3,arsenal,TRUE,TRUE,
spurs,sunderland,,spurs,0,1,leicester,TRUE,TRUE,
bournemouth,norwich,,spurs,4,1,sunderland,TRUE,TRUE,
chelsea,everton,,bournemouth,3,0,norwich,TRUE,TRUE,
man-city,crystal-palace,,chelsea,3,3,everton,TRUE,TRUE,
newcastle,west-ham,,man-city,4,0,crystal-palace,TRUE,TRUE,
southampton,west-brom,,newcastle,2,1,west-ham,TRUE,TRUE,
aston-villa,leicester,,southampton,3,0,west-brom,TRUE,TRUE,
liverpool,man-utd,,aston-villa,1,1,leicester,TRUE,TRUE,
stoke,arsenal,,liverpool,0,1,man-utd,TRUE,TRUE,
swansea,watford,,stoke,0,0,arsenal,TRUE,TRUE,
norwich,liverpool,,swansea,1,0,watford,TRUE,TRUE,
crystal-palace,spurs,,norwich,4,5,liverpool,TRUE,TRUE,
leicester,stoke,,crystal-palace,1,3,spurs,TRUE,TRUE,
man-utd,southampton,,leicester,3,0,stoke,TRUE,TRUE,
sunderland,bournemouth,,man-utd,0,1,southampton,TRUE,TRUE,
watford,newcastle,,sunderland,1,1,bournemouth,TRUE,TRUE,
west-brom,aston-villa,,watford,2,1,newcastle,TRUE,TRUE,
west-ham,man-city,,west-brom,0,0,aston-villa,TRUE,TRUE,
everton,swansea,,west-ham,2,2,man-city,TRUE,TRUE,
arsenal,chelsea,,everton,1,2,swansea,TRUE,TRUE,
arsenal,southampton,,arsenal,0,1,chelsea,TRUE,TRUE,
leicester,liverpool,,arsenal,0,0,southampton,TRUE,TRUE,
norwich,spurs,,leicester,2,0,liverpool,TRUE,TRUE,
sunderland,man-city,,norwich,0,3,spurs,TRUE,TRUE,
west-ham,aston-villa,,sunderland,0,1,man-city,TRUE,TRUE,
crystal-palace,bournemouth,,west-ham,2,0,aston-villa,TRUE,TRUE,
man-utd,stoke,,crystal-palace,1,2,bournemouth,TRUE,TRUE,
west-brom,swansea,,man-utd,3,0,stoke,TRUE,TRUE,
everton,newcastle,,west-brom,1,1,swansea,TRUE,TRUE,
watford,chelsea,,everton,3,0,newcastle,TRUE,TRUE,
man-city,leicester,,watford,0,0,chelsea,TRUE,TRUE,
aston-villa,norwich,,man-city,1,3,leicester,TRUE,TRUE,
liverpool,sunderland,,aston-villa,2,0,norwich,TRUE,TRUE,
